label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007846,FCA,,ICB/Framework/PFSA6/RDF-R/PH/01/19(split from 0071,-26,-787,,,,,,,829,-703,-813
,007847,FCA,,ICB/Framwork/PFSA6/RDF-R/PH/01/19(split from 00730,-22,-20,-757,-705,,,,,1590,-1464,-1504
,007880,FCA,,ICB/Framwork/PFSA6/RDF-R/PH/01/19(split from 00730,-22,-792,,,,,,,830,-704,-814
,007936,FOB,,ICB/EPSS6/RDF-F& SDG 2015/MS/LS/14/22,-828,,,,,,,,829,-703,-828
,007937,FOB,,ICB/EPSS6/RDF-F& SDG 2015/MS/LS/14/22,-828,,,,,,,,829,-703,-828
,007942,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(split from 0078,-18,7,-787,-705,,,,,1589,-1463,-1503
,007943,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19 (split from 007,-18,-795,,,,,,,829,-703,-813
,007944,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(split from 0078,-14,-799,,,,,,,829,-703,-813
,007945,FOB,,ICB/Framework/PFSA6/RDF-R/PH/01/19(Split from 7861,-14,-46,-738,-657,,,,,1541,-1415,-1455
,007934,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21( Split From PO:0070,-823,,,,,,,,824,-698,-823
,007935,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21( Split From PO:0070,-823,,,,,,,,824,-698,-823
,007705,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from PO: 0074,-822,,,,,,,,823,-697,-822
,007717,FOB,,"ICB/EPSA6/RDF_Routine/MD/10/22(4 Qty for SRHB, 3 Q",-822,,,,,,,,823,-697,-822
,007955,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-92,-715,,,,,,,823,-697,-807
,007956,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-92,-715,,,,,,,823,-697,-807
,007957,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-92,-715,,,,,,,823,-697,-807
,007958,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-91,-716,,,,,,,823,-697,-807
,007959,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-821,,,,,,,,822,-696,-821
,007960,FCA,,ICB/EPSS6/RDF-R/LR/11/23,-33,-773,,,,,,,822,-696,-806
,Non Standard PO 70014093,FCA,,Non Standard PO 70014093,-818,,,,,,,,819,-693,-818
,007965,FCA,,ICB/EPSA6/RDF-R/PH/10/21( Refill from order no.006,-91,42,-738,,,,,,818,-692,-787
,007966,FCA,,ICB/Framework/PFSA6/RDF-R/PH/01/19(refill from po ,-91,42,-738,,,,,,818,-692,-787
,NON Standard 70014093,FCA,,NON Standard 70014093,-814,,,,,,,,815,-689,-814
,007969,FCA,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22(Refill order f,-28,-26,-726,,,,,,811,-685,-780
,007967,FOB,,ICB/EPSA6/MOH-SDG-WB-BUFFET/FH/PH/07/23,-56,-33,-690,,,,,,810,-684,-779
,007972,FOB,,ICB/PSA6/RDF/CT&MRI/MI/25/19 (Refill from PO No. 0,-801,,,,,,,,802,-676,-801
,007973,FOB,,ICB/PSA6/RDF/CT&MRI/MI/25/19 (Refill from PO No. 0,-801,,,,,,,,802,-676,-801
,007976,FCA,,ICB/Framework/PFSA6/RDF-R/PH/01/19(splited from po,-45,-741,,,,,,,802,-676,-786
,007977,FCA,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from 7911: fo,-76,0,-695,,,,,,802,-676,-771
,007978,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from po:00791,-76,0,-695,,,,,,802,-676,-771
,007979,Cost and Freight,,EPSS6/DT/MOH-GF/Malaria/PH/02/23 (Refill from 0079,-20,1,-751,-643,,,,,1499,-1373,-1413
,007982,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-48,-14,-703,,,,,,796,-670,-765
,007983,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-57,-19,-690,,,,,,797,-671,-766
,007984,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-48,-732,,,,,,,796,-670,-780
,007985,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-93,-687,,,,,,,796,-670,-780
,007988,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-66,-715,,,,,,,797,-671,-781
,007990,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,007993,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,007994,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-94,-686,,,,,,,796,-670,-780
,007995,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-93,-687,,,,,,,796,-670,-780
,007996,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,007997,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-95,-685,,,,,,,796,-670,-780
,008002,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-65,-716,,,,,,,797,-671,-781
,008003,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008004,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008005,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008006,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008007,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-65,-715,,,,,,,796,-670,-780
,008008,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008009,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008010,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008011,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008012,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008013,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008014,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008015,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008016,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008017,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008018,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008019,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-93,-687,,,,,,,796,-670,-780
,008020,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008021,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008022,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008023,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008024,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-48,-732,,,,,,,796,-670,-780
,008025,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008026,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008027,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008028,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008029,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008030,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008031,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008032,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008033,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008034,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008035,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-60,-720,,,,,,,796,-670,-780
,008036,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008037,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-80,-700,,,,,,,796,-670,-780
,008038,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008039,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008040,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008041,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008042,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008043,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008044,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008045,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008046,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008047,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008048,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008049,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008050,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008051,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008052,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008053,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008054,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008055,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008056,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008057,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-93,-687,,,,,,,796,-670,-780
,008058,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008059,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-60,-7,-699,,,,,,797,-671,-766
,008060,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008061,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008062,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-93,27,-699,,,,,,796,-670,-765
,008063,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008064,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008066,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008067,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008068,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008069,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-795,,,,,,,,796,-670,-795
,008070,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008071,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008072,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008073,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008074,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008075,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008076,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008077,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008078,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008079,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-92,-687,,,,,,,795,-669,-779
,008080,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-92,-687,,,,,,,795,-669,-779
,008081,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008082,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008083,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-48,-732,,,,,,,796,-670,-780
,008084,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-48,-14,-703,,,,,,796,-670,-765
,008085,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008086,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008087,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-45,-735,,-692,,,,,1543,-1417,-1472
,008088,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-66,0,-699,,,,,,796,-670,-765
,008089,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008090,FCA,, ICB/Framework/EPSS6/RDF-R/PH/06/23,-79,-700,,,,,,,795,-669,-779
,008091,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008092,FCA,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-794,,,,,,,,795,-669,-794
,008093,Cost and Freight,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-793,,,,,,,,794,-668,-793
,008094,Cost and Freight,,ICB/Framework/EPSS6/RDF-R/PH/06/23,-793,,,,,,,,794,-668,-793
,007918,FCA,,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-791,,,,,,,,792,-666,-791
,008099,FCA,,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-76,-687,,,,,,,779,-653,-763
,008100,FCA,,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-76,-687,,,,,,,779,-653,-763
,008101,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-777,,,,,,,,778,-652,-777
,008102,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-777,,,,,,,,778,-652,-777
,008103,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-777,,,,,,,,778,-652,-777
,008104,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-777,,,,,,,,778,-652,-777
,008105,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-777,,,,,,,,778,-652,-777
,008106,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-56,-707,,,,,,,779,-653,-763
,008107,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-56,-707,,,,,,,779,-653,-763
,008108,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-68,-695,,,,,,,779,-653,-763
,008109,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-777,,-690,,,,,,1483,-1357,-1467
,008110,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-89,50,-709,,,,,,779,-653,-748
,008111,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-41,-5,-702,,,,,,779,-653,-748
,008112,FCA,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-777,,-699,,,,,,1492,-1366,-1476
,008113,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-89,30,-689,,,,,,779,-653,-748
,008114,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-777,,,,,,,,778,-652,-777
,008115,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-88,34,-694,,,,,,779,-653,-748
,008116,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-777,,,,,,,,778,-652,-777
,008117,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-91,-671,,,,,,,778,-652,-762
,008118,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 (PO Splitted from PO:0,-35,40,-749,,,,,,775,-649,-744
,008119,FCA,,ICB/EPSS6/RDF/MD/ORHB/16/23 (PO Splitted from PO:0,-772,,-749,,,,,,1537,-1411,-1521
,008120,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 (25% Refill from PO:00,-33,14,-722,,,,,,772,-646,-741
,008125,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-14,-21,-699,,,,,,765,-639,-734
,008126,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-13,-735,,,,,,,764,-638,-748
,008127,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-13,-735,,,,,,,764,-638,-748
,008129,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-31,-7,-695,,,,,,764,-638,-733
,008130,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-31,-717,,,,,,,764,-638,-748
,008132,FOB,,ICB/EPSS6/RDF-R/PH/23/23,-17,-19,-695,,,,,,762,-636,-731
,008133,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-31,-715,,,,,,,762,-636,-746
,008134,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-57,20,-695,,,,,,763,-637,-732
,008135,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-61,-685,,,,,,,762,-636,-746
,008136,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-761,,,,,,,,762,-636,-761
,008137,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-61,-685,,,,,,,762,-636,-746
,008138,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-47,-699,,,,,,,762,-636,-746
,008139,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-47,-699,,,,,,,762,-636,-746
,008140,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-47,-699,,,,,,,762,-636,-746
,008141,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-60,-685,,,,,,,761,-635,-745
,008144,FCA,,ICB/EPSS6/RDF-R/PH/27/23,-28,-716,,,,,,,760,-634,-744
,008145,FCA,,ICB/EPSS6/RDF-R/PH/27/23,-28,-716,,,,,,,760,-634,-744
,008146,FCA,,ICB/EPSS6/RDF-R/PH/27/23,-21,-11,-695,,,,,,758,-632,-727
,007987,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-9,-729,,,,,,,754,-628,-738
,007989,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-9,-729,,,,,,,754,-628,-738
,007991,FCA,,ICB/EPSS6/RDF-R/PH/27/23,-9,-729,,,,,,,754,-628,-738
,007992,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-9,-729,,,,,,,754,-628,-738
,007999,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-751,,,,,,,,752,-626,-751
,008151,FCA,,ICB/EPSS6/RDF-R/PH/27/23,-15,-721,,,,,,,752,-626,-736
,008152,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-750,,,,,,,,751,-625,-750
,007998,FCA,, ICB/EPSS6/RDF-R/PH/27/23,-11,-724,,,,,,,751,-625,-735
,008000,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-18,-717,,,,,,,751,-625,-735
,008001,FOB,,ICB/EPSS6/RDF-R/PH/27/23,-750,,,,,,,,751,-625,-750
,008153,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-5,7,-722,-648,,,,,1454,-1328,-1368
,008131,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-21,-710,,,,,,,747,-621,-731
,008128,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-21,10,-706,,,,,,748,-622,-717
,008161,FCA,,ICB/EPSS6/RDF/MD/ORHB/16/23 (Split from : 007811),-8,4,-710,,,,,,745,-619,-714
,008162,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 (Split From: 007811),-12,7,-710,,,,,,746,-620,-715
,008163,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 ( Split from : 007811),-12,7,-710,,,,,,746,-620,-715
,008164,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 ( Split from : 007811),-8,4,-710,,,,,,745,-619,-714
,008165,FCA,,ICB/EPSS6/RDF-R/PH/23/23,-743,,,,,,,,744,-618,-743
,008149,FOB,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-742,,,,,,,,743,-617,-742
,008150,FCA,, ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Other,-742,,-690,,,,,,1448,-1322,-1432
,008166,Cost and Freight,,EPSS6/DT/GF5457/BIO-RAD/LR/02/24,-32,14,-693,,,,,,742,-616,-711
,008171,FOB,,ICB/EPSS6/MOF/LR/MS/01/24,-738,,,,,,,,739,-613,-738
,008172,FCA,,ICB/EPSS6/MOF/LR/MS/01/24,-738,,,,,,,,739,-613,-738
,008173,FCA,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-737,,,,,,,,738,-612,-737
,008174,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-43,-679,,,,,,,738,-612,-722
,008175,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-737,,,,,,,,738,-612,-737
,008180,FCA,,Call off ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-731,,-675,,,,,,1422,-1296,-1406
,008181,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008182,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008184,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008187,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008188,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008191,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-730,,,,,,,,731,-605,-730
,008192,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008193,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008194,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008195,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008196,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008198,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008200,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008201,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008202,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008203,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008204,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008205,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008206,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008208,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008209,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008210,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008211,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008212,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008213,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008214,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008215,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008216,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008217,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008218,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008219,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008220,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008221,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008222,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008223,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008224,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008225,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-729,,,,,,,,730,-604,-729
,008142,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(For SRHB split from,-728,,,,,,,,729,-603,-728
,008143,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-728,,,,,,,,729,-603,-728
,008226,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-728,,,,,,,,729,-603,-728
,008176,FCA,,Call off from ICB/PSA6/SDG/PLACEMENT/LR/32/19,-28,10,-681,,,,,,730,-604,-699
,008228,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23,-728,,,,,,,,729,-603,-728
,008234,FOB,,Call off  ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-725,,-675,,,,,,1416,-1290,-1400
