label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007693,FCA,N3357,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-11,-112,-67,-13,-9,7,-6,0,337,-211,-211
,007690,FCA,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-21,-7,-987,-872,,,,,1973,-1847,-1887
,007694,FOB,,PFSA6/RT-2/RDF/MI/04/18 (Split from 007146 for ALE,-239,-86,-690,,,,,,1046,-920,-1015
,007606,FOB,EXP/23-24/262,ICB/EPSA6/RDF-R/PH/02/21(Refill Order from PO No.0,-18,-103,-67,-6,18,-806,,1,1105,-979,-981
,007706,FOB,,PFSA6/DT/MoH-Covid-19/Bed/MI/19/20 ( Alert HP Spli,-1039,,,,,,,,1040,-914,-1039
,007711,FOB,0918,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-16,-123,-101,-25,-744,,-721,,1843,-1717,-1730
,007712,FOB,,ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-16,-282,-711,,,,,,1040,-914,-1009
,007728,FOB,,PSA6/DT/MOH-COVID-19/Bed/MI/19/20 (Refill from 005,-1036,,,,,,,,1037,-911,-1036
,007729,FOB,,PFSA6/RT-2/RDF/MI/04/18 (Split from 007146),-1036,,,,,,,,1037,-911,-1036
,007730,FOB,,ICB/EPSA6/RDF-R &SDG 2015/MS/LS/14/22,-18,-121,-867,-783,,,,,1875,-1749,-1789
,007609,FOB,,ICB/EPSA6/RDF-R/PH/02/22(Refill Order from PO 0069,-20,-265,-718,-657,,,,,1746,-1620,-1660
,007630,FOB,,ICB/EPSA6/RDF-R& SDG 2015/MS/LS/14/22,-116,-899,,,,,,,1031,-905,-1015
,007650,FOB,, ICB/EPSA6/RDF-R & SDG 2015/MS/LS/14/22,-1022,,,,,,,,1023,-897,-1022
,007731,FOB,,ICB/EPSA6/RDF-R &SDG 2015/MS/LS/14/22,-1021,,,,,,,,1022,-896,-1021
,007732,FOB,TNRP67092,ICB/EPSA6/MOH-GF/NFMIII/MRDT/condom/LR/05/23,-82,40,-143,-14,-5,-762,,-1,1091,-965,-967
,non standard so23000486,FOB,,non standard so23000486,-997,,,,,,,,998,-872,-997
,non standard so 23000486,FOB,,non standard so 23000486,-990,,,,,,,,991,-865,-990
,007739,FCA,,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23,-963,,,,,,,,964,-838,-963
,007740,FOB,2425100072,ICB/EPSS6/GF-CHEM/MS/LS/09/23,-29,-21,-109,-69,2,10,1,-1,342,-216,-216
,007741,FOB,01/EPSS/DKT/2024,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-2,-14,-58,-1,-39,-778,,,1014,-888,-892
,007741,FOB,GP231230,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-2,-14,-54,4,-43,-778,,,1009,-883,-887
,007742,FOB,02/EPSS/DKT/2024,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-2,-54,-869,-821,,,,,1832,-1706,-1746
,007742,FOB,GP240301,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-2,-54,-869,-821,,,,,1832,-1706,-1746
,007743,FOB,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-2,-159,-764,-675,,,,,1686,-1560,-1600
,007744,FOB,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22(Refill),-14,-222,-690,,,,,,957,-831,-926
,007747,FOB,,ICB/EPSA6/MOH-SDG-WB-BUFFET/FH/PH/07/23,-947,,,,,,,,948,-822,-947
,007745,FCA,,ICB/EPSA6/MOH-SDG-WB-BUFFET/FH/PH/07/23,-20,-160,-739,-688,,,,,1693,-1567,-1607
,007746,FCA,,ICB/EPSA6/MOH-SDG-WB-BUFFET/FH/PH/07/23,-23,-910,,,,,,,949,-823,-933
,007754,FOB,HW40101A,Refill from ICB/EPSA6/RDF-R/2014 & 2013 Retendered,-15,-18,-24,18,-24,23,-10,0,176,-50,-50
,007754,FOB,HW40101C,Refill from ICB/EPSA6/RDF-R/2014 & 2013 Retendered,-15,-18,-43,-1,-803,,-3,-7,1005,-879,-890
,007755,FOB,HBM231211A,ICB/EPSS6/RDF-R/MS/15/23,-28,-70,-805,-753,,,,,1742,-1616,-1656
,007755,FOB,HBM231211B,ICB/EPSS6/RDF-R/MS/15/23,-28,-70,-805,-753,,,,,1742,-1616,-1656
,007755,FOB,HBM231211D,ICB/EPSS6/RDF-R/MS/15/23,-28,-70,-805,-753,,,,,1742,-1616,-1656
,007757,FOB,HD-EPSA-2301,ICB/EPSS6/RDF-R/MS/15/23,-36,-22,-846,-761,,,,,1751,-1625,-1665
,007761,FOB,, ICB/EPSS6/RDF-R/MS/15/23,-22,-111,-769,-702,,,,,1690,-1564,-1604
,007758,FOB,RI-49/23/ES,ICB/EPSS6/RDF-R/MS/15/23,-35,-10,-64,-1,3,-12,-5,0,250,-124,-124
,007748,FCA,,ICB/EPSA6/MOH-SDG-WB-BUFFET/FH/PH/07/23,-34,-882,,,,,,,932,-806,-916
,007770,FCA,,ICB/EPSA6/RDF-R/PH/13/22,-40,-137,-724,-657,,,,,1644,-1518,-1558
,007772,FCA,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22,-10,-903,,,,,,,929,-803,-913
,Invoice-135038952/1,FCA,,Invoice-135038952/1,-926,,,,,,,,927,-801,-926
,Invoice-135038949/2,FCA,,Invoice-135038949/2,-926,,,,,,,,927,-801,-926
,Invoice-135038940/2,FCA,,Invoice-135038940/2,-926,,,,,,,,927,-801,-926
,Invoice-135038940/3,FCA,,Invoice-135038940/3,-926,,,,,,,,927,-801,-926
,Invoice-135038949/3,FCA,,Invoice-135038949/3,-926,,,,,,,,927,-801,-926
,Invoice-135038952/2,FCA,,Invoice-135038952/2,-926,,,,,,,,927,-801,-926
,Invoice-135038952/3,FCA,,Invoice-135038952/3,-926,,,,,,,,927,-801,-926
,007726,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-138,-774,,,,,,,928,-802,-912
